Make,Model,Type,Origin,DriveTrain,Engine Size (L),Cylinders,Horsepower,MPG (Mileage),Weight (LBS),Wheelbase (IN),Length (IN)
Acura,MDX,SUV,Asia,All,3.5,6,265,23,4451,106,189
Acura,RSX Type S 2dr,Sedan,Asia,Front,2,4,200,31,2778,101,172
Acura,TSX 4dr,Sedan,Asia,Front,2.4,4,200,29,3230,105,183
Acura,TL 4dr,Sedan,Asia,Front,3.2,6,270,28,3575,108,186
Acura,3.5 RL 4dr,Sedan,Asia,Front,3.5,6,225,24,3880,115,197
Acura,3.5 RL w/Navigation 4dr,Sedan,Asia,Front,3.5,6,225,24,3893,115,197
Acura,NSX coupe 2dr manual S,Sports,Asia,Rear,3.2,6,290,24,3153,100,174
Audi,A4 1.8T 4dr,Sedan,Europe,Front,1.8,4,170,31,3252,104,179
Audi,A41.8T convertible 2dr,Sedan,Europe,Front,1.8,4,170,30,3638,105,180
Audi,A4 3.0 4dr,Sedan,Europe,Front,3,6,220,28,3462,104,179
Audi,A4 3.0 Quattro 4dr manual,Sedan,Europe,All,3,6,220,26,3583,104,179
Audi,A4 3.0 Quattro 4dr auto,Sedan,Europe,All,3,6,220,25,3627,104,179
Audi,A6 3.0 4dr,Sedan,Europe,Front,3,6,220,27,3561,109,192
Audi,A6 3.0 Quattro 4dr,Sedan,Europe,All,3,6,220,25,3880,109,192
Audi,A4 3.0 convertible 2dr,Sedan,Europe,Front,3,6,220,27,3814,105,180
Audi,A4 3.0 Quattro convertible 2dr,Sedan,Europe,All,3,6,220,25,4013,105,180
Audi,A6 2.7 Turbo Quattro 4dr,Sedan,Europe,All,2.7,6,250,25,3836,109,192
Audi,A6 4.2 Quattro 4dr,Sedan,Europe,All,4.2,8,300,24,4024,109,193
Audi,A8 L Quattro 4dr,Sedan,Europe,All,4.2,8,330,24,4399,121,204
Audi,S4 Quattro 4dr,Sedan,Europe,All,4.2,8,340,20,3825,104,179
Audi,RS 6 4dr,Sports,Europe,Front,4.2,8,450,22,4024,109,191
Audi,TT 1.8 convertible 2dr (coupe),Sports,Europe,Front,1.8,4,180,28,3131,95,159
Audi,TT 1.8 Quattro 2dr (convertible),Sports,Europe,All,1.8,4,225,28,2921,96,159
Audi,TT 3.2 coupe 2dr (convertible),Sports,Europe,All,3.2,6,250,29,3351,96,159
Audi,A6 3.0 Avant Quattro,Wagon,Europe,All,3,6,220,25,4035,109,192
Audi,S4 Avant Quattro,Wagon,Europe,All,4.2,8,340,21,3936,104,179
BMW,X3 3.0i,SUV,Europe,All,3,6,225,23,4023,110,180
BMW,X5 4.4i,SUV,Europe,All,4.4,8,325,22,4824,111,184
BMW,325i 4dr,Sedan,Europe,Rear,2.5,6,184,29,3219,107,176
BMW,325Ci 2dr,Sedan,Europe,Rear,2.5,6,184,29,3197,107,177
BMW,325Ci convertible 2dr,Sedan,Europe,Rear,2.5,6,184,27,3560,107,177
BMW,325xi 4dr,Sedan,Europe,All,2.5,6,184,27,3461,107,176
BMW,330i 4dr,Sedan,Europe,Rear,3,6,225,30,3285,107,176
BMW,330Ci 2dr,Sedan,Europe,Rear,3,6,225,30,3285,107,176
BMW,330xi 4dr,Sedan,Europe,All,3,6,225,29,3483,107,176
BMW,525i 4dr,Sedan,Europe,Rear,2.5,6,184,28,3428,114,191
BMW,330Ci convertible 2dr,Sedan,Europe,Rear,3,6,225,28,3616,107,177
BMW,530i 4dr,Sedan,Europe,Rear,3,6,225,30,3472,114,191
BMW,545iA 4dr,Sedan,Europe,Rear,4.4,8,325,26,3814,114,191
BMW,745i 4dr,Sedan,Europe,Rear,4.4,8,325,26,4376,118,198
BMW,745Li 4dr,Sedan,Europe,Rear,4.4,8,325,26,4464,123,204
BMW,M3 coupe 2dr,Sports,Europe,Rear,3.2,6,333,24,3415,108,177
BMW,M3 convertible 2dr,Sports,Europe,Rear,3.2,6,333,23,3781,108,177
BMW,Z4 convertible 2.5i 2dr,Sports,Europe,Rear,2.5,6,184,28,2932,98,161
BMW,Z4 convertible 3.0i 2dr,Sports,Europe,Rear,3,6,225,29,2998,98,161
BMW,325xi Sport,Wagon,Europe,All,2.5,6,184,26,3594,107,176
Buick,Rainier,SUV,USA,All,4.2,6,275,21,4600,113,193
Buick,Rendezvous CX,SUV,USA,Front,3.4,6,185,26,4024,112,187
Buick,Century Custom 4dr,Sedan,USA,Front,3.1,6,175,30,3353,109,195
Buick,LeSabre Custom 4dr,Sedan,USA,Front,3.8,6,205,29,3567,112,200
Buick,Regal LS 4dr,Sedan,USA,Front,3.8,6,200,30,3461,109,196
Buick,Regal GS 4dr,Sedan,USA,Front,3.8,6,240,28,3536,109,196
Buick,LeSabre Limited 4dr,Sedan,USA,Front,3.8,6,205,29,3591,112,200
Buick,Park Avenue 4dr,Sedan,USA,Front,3.8,6,205,29,3778,114,207
Buick,Park Avenue Ultra 4dr,Sedan,USA,Front,3.8,6,240,28,3909,114,207
Cadillac,Escalade,SUV,USA,Front,5.3,8,295,18,5367,116,199
Cadillac,SRX V8,SUV,USA,Front,4.6,8,320,21,4302,116,195
Cadillac,CTS VVT 4dr,Sedan,USA,Rear,3.6,6,255,25,3694,113,190
Cadillac,Deville 4dr,Sedan,USA,Front,4.6,8,275,26,3984,115,207
Cadillac,Deville DTS 4dr,Sedan,USA,Front,4.6,8,300,26,4044,115,207
Cadillac,Seville SLS 4dr,Sedan,USA,Front,4.6,8,275,26,3992,112,201
Cadillac,XLR convertible 2dr,Sports,USA,Rear,4.6,8,320,25,3647,106,178
